starttime	seconds	ctime	dtime	ttime	wait
Fri May 31 14:48:48 2024	1717147128	0	593	593	592
Fri May 31 14:48:49 2024	1717147129	0	593	593	571
Fri May 31 14:48:47 2024	1717147127	0	594	594	593
Fri May 31 14:48:50 2024	1717147130	0	594	595	594
Fri May 31 14:48:50 2024	1717147130	0	596	596	596
Fri May 31 14:48:49 2024	1717147129	0	597	597	597
Fri May 31 14:48:50 2024	1717147130	0	598	598	597
Fri May 31 14:48:48 2024	1717147128	0	598	598	597
Fri May 31 14:48:44 2024	1717147124	2	597	599	391
Fri May 31 14:48:44 2024	1717147124	0	599	599	599
Fri May 31 14:48:52 2024	1717147132	0	600	600	599
Fri May 31 14:48:51 2024	1717147131	0	600	600	599
Fri May 31 14:48:45 2024	1717147125	0	600	601	600
Fri May 31 14:48:51 2024	1717147131	0	603	603	602
Fri May 31 14:48:45 2024	1717147125	0	603	603	498
Fri May 31 14:48:45 2024	1717147125	0	604	604	539
Fri May 31 14:48:51 2024	1717147131	0	604	604	604
Fri May 31 14:48:45 2024	1717147125	0	605	605	525
Fri May 31 14:48:44 2024	1717147124	0	606	606	605
Fri May 31 14:48:50 2024	1717147130	0	606	606	560
Fri May 31 14:48:48 2024	1717147128	0	609	609	608
Fri May 31 14:48:51 2024	1717147131	0	609	609	609
Fri May 31 14:48:51 2024	1717147131	0	609	609	609
Fri May 31 14:48:47 2024	1717147127	0	610	610	610
Fri May 31 14:48:49 2024	1717147129	0	611	611	611
Fri May 31 14:48:46 2024	1717147126	0	611	611	611
Fri May 31 14:48:46 2024	1717147126	0	611	611	300
Fri May 31 14:48:48 2024	1717147128	0	613	613	612
Fri May 31 14:48:51 2024	1717147131	0	612	613	611
Fri May 31 14:48:47 2024	1717147127	0	613	613	613
Fri May 31 14:48:44 2024	1717147124	0	614	614	614
Fri May 31 14:48:49 2024	1717147129	0	614	614	614
Fri May 31 14:48:46 2024	1717147126	0	615	615	240
Fri May 31 14:48:50 2024	1717147130	0	615	615	603
Fri May 31 14:48:50 2024	1717147130	0	616	616	616
Fri May 31 14:48:46 2024	1717147126	0	617	617	610
Fri May 31 14:48:45 2024	1717147125	0	617	617	608
Fri May 31 14:48:47 2024	1717147127	0	617	617	616
Fri May 31 14:48:51 2024	1717147131	0	617	617	617
Fri May 31 14:48:49 2024	1717147129	0	618	618	618
Fri May 31 14:48:50 2024	1717147130	0	619	619	618
Fri May 31 14:48:46 2024	1717147126	0	619	619	619
Fri May 31 14:48:46 2024	1717147126	0	619	620	150
Fri May 31 14:48:47 2024	1717147127	0	620	620	590
Fri May 31 14:48:46 2024	1717147126	0	620	620	620
Fri May 31 14:48:47 2024	1717147127	0	621	621	620
Fri May 31 14:48:52 2024	1717147132	0	621	621	620
Fri May 31 14:48:45 2024	1717147125	0	621	621	540
Fri May 31 14:48:52 2024	1717147132	0	621	621	621
Fri May 31 14:48:51 2024	1717147131	0	623	623	623
Fri May 31 14:48:45 2024	1717147125	0	624	624	500
Fri May 31 14:48:51 2024	1717147131	0	625	625	625
Fri May 31 14:48:45 2024	1717147125	0	626	626	625
Fri May 31 14:48:49 2024	1717147129	0	626	626	607
Fri May 31 14:48:49 2024	1717147129	0	626	626	516
Fri May 31 14:48:46 2024	1717147126	0	627	627	626
Fri May 31 14:48:46 2024	1717147126	0	628	628	628
Fri May 31 14:48:51 2024	1717147131	0	630	630	629
Fri May 31 14:48:45 2024	1717147125	0	630	630	630
Fri May 31 14:48:46 2024	1717147126	0	631	631	630
Fri May 31 14:48:44 2024	1717147124	0	633	633	633
Fri May 31 14:48:47 2024	1717147127	0	634	634	634
Fri May 31 14:48:50 2024	1717147130	0	635	635	635
Fri May 31 14:48:45 2024	1717147125	0	636	636	636
Fri May 31 14:48:50 2024	1717147130	0	636	636	635
Fri May 31 14:48:47 2024	1717147127	0	637	637	636
Fri May 31 14:48:46 2024	1717147126	0	637	637	637
Fri May 31 14:48:44 2024	1717147124	0	638	638	638
Fri May 31 14:48:48 2024	1717147128	0	638	638	546
Fri May 31 14:48:49 2024	1717147129	0	640	640	639
Fri May 31 14:48:44 2024	1717147124	2	638	640	638
Fri May 31 14:48:44 2024	1717147124	0	641	641	641
Fri May 31 14:48:45 2024	1717147125	0	642	642	592
Fri May 31 14:48:47 2024	1717147127	0	642	642	641
Fri May 31 14:48:51 2024	1717147131	0	643	643	642
Fri May 31 14:48:47 2024	1717147127	0	644	644	644
Fri May 31 14:48:51 2024	1717147131	0	645	645	644
Fri May 31 14:48:48 2024	1717147128	0	645	645	644
Fri May 31 14:48:45 2024	1717147125	0	645	645	439
Fri May 31 14:48:50 2024	1717147130	0	647	647	646
Fri May 31 14:48:48 2024	1717147128	0	647	647	646
Fri May 31 14:48:45 2024	1717147125	0	647	647	646
Fri May 31 14:48:50 2024	1717147130	0	647	647	647
Fri May 31 14:48:48 2024	1717147128	0	648	648	641
Fri May 31 14:48:52 2024	1717147132	0	648	648	648
Fri May 31 14:48:45 2024	1717147125	0	649	649	576
Fri May 31 14:48:51 2024	1717147131	0	650	650	650
Fri May 31 14:48:48 2024	1717147128	0	651	651	650
Fri May 31 14:48:46 2024	1717147126	0	651	651	650
Fri May 31 14:48:44 2024	1717147124	0	653	653	652
Fri May 31 14:48:46 2024	1717147126	0	653	653	653
Fri May 31 14:48:51 2024	1717147131	0	653	653	652
Fri May 31 14:48:47 2024	1717147127	0	654	654	653
Fri May 31 14:48:46 2024	1717147126	0	654	654	654
Fri May 31 14:48:48 2024	1717147128	0	654	654	654
Fri May 31 14:48:52 2024	1717147132	0	655	655	655
Fri May 31 14:48:46 2024	1717147126	0	656	656	655
Fri May 31 14:48:46 2024	1717147126	0	656	656	656
Fri May 31 14:48:52 2024	1717147132	0	657	657	657
Fri May 31 14:48:45 2024	1717147125	0	658	658	608
Fri May 31 14:48:51 2024	1717147131	0	658	658	657
Fri May 31 14:48:48 2024	1717147128	0	659	659	658
Fri May 31 14:48:44 2024	1717147124	0	661	661	661
Fri May 31 14:48:49 2024	1717147129	0	664	664	663
Fri May 31 14:48:46 2024	1717147126	0	664	664	664
Fri May 31 14:48:48 2024	1717147128	0	665	665	664
Fri May 31 14:48:45 2024	1717147125	0	665	665	514
Fri May 31 14:48:51 2024	1717147131	0	667	667	667
Fri May 31 14:48:50 2024	1717147130	0	667	667	641
Fri May 31 14:48:51 2024	1717147131	0	667	667	667
Fri May 31 14:48:45 2024	1717147125	0	668	668	668
Fri May 31 14:48:45 2024	1717147125	0	669	669	669
Fri May 31 14:48:50 2024	1717147130	0	670	670	669
Fri May 31 14:48:50 2024	1717147130	0	672	672	672
Fri May 31 14:48:50 2024	1717147130	0	674	674	673
Fri May 31 14:48:51 2024	1717147131	0	674	674	674
Fri May 31 14:48:45 2024	1717147125	0	675	675	675
Fri May 31 14:48:51 2024	1717147131	0	677	677	677
Fri May 31 14:48:46 2024	1717147126	0	678	678	678
Fri May 31 14:48:48 2024	1717147128	0	679	679	677
Fri May 31 14:48:50 2024	1717147130	0	682	682	666
Fri May 31 14:48:51 2024	1717147131	0	684	684	683
Fri May 31 14:48:48 2024	1717147128	0	684	684	683
Fri May 31 14:48:44 2024	1717147124	1	685	686	684
Fri May 31 14:48:45 2024	1717147125	0	690	690	595
Fri May 31 14:48:50 2024	1717147130	0	690	690	690
Fri May 31 14:48:45 2024	1717147125	0	691	691	484
Fri May 31 14:48:46 2024	1717147126	0	691	691	691
Fri May 31 14:48:49 2024	1717147129	0	694	694	693
Fri May 31 14:48:45 2024	1717147125	0	697	697	694
Fri May 31 14:48:46 2024	1717147126	0	698	698	401
Fri May 31 14:48:50 2024	1717147130	0	699	699	699
Fri May 31 14:48:46 2024	1717147126	0	700	700	699
Fri May 31 14:48:51 2024	1717147131	0	702	702	701
Fri May 31 14:48:50 2024	1717147130	0	702	702	701
Fri May 31 14:48:47 2024	1717147127	0	704	704	703
Fri May 31 14:48:48 2024	1717147128	0	705	705	705
Fri May 31 14:48:48 2024	1717147128	0	705	705	704
Fri May 31 14:48:51 2024	1717147131	0	706	707	706
Fri May 31 14:48:50 2024	1717147130	0	707	707	706
Fri May 31 14:48:46 2024	1717147126	0	707	707	706
Fri May 31 14:48:51 2024	1717147131	0	708	708	708
Fri May 31 14:48:48 2024	1717147128	0	709	709	708
Fri May 31 14:48:47 2024	1717147127	0	709	709	709
Fri May 31 14:48:49 2024	1717147129	0	710	710	710
Fri May 31 14:48:50 2024	1717147130	0	710	710	710
Fri May 31 14:48:50 2024	1717147130	0	711	711	711
Fri May 31 14:48:45 2024	1717147125	0	712	712	505
Fri May 31 14:48:50 2024	1717147130	0	713	713	713
Fri May 31 14:48:51 2024	1717147131	0	713	714	701
Fri May 31 14:48:51 2024	1717147131	0	714	714	712
Fri May 31 14:48:49 2024	1717147129	0	715	715	715
Fri May 31 14:48:48 2024	1717147128	0	715	715	715
Fri May 31 14:48:50 2024	1717147130	0	716	716	715
Fri May 31 14:48:47 2024	1717147127	0	718	718	717
Fri May 31 14:48:50 2024	1717147130	0	718	718	718
Fri May 31 14:48:47 2024	1717147127	0	719	719	719
Fri May 31 14:48:50 2024	1717147130	0	720	721	693
Fri May 31 14:48:46 2024	1717147126	0	721	721	720
Fri May 31 14:48:48 2024	1717147128	0	721	721	721
Fri May 31 14:48:46 2024	1717147126	0	722	722	721
Fri May 31 14:48:48 2024	1717147128	0	722	722	722
Fri May 31 14:48:45 2024	1717147125	0	723	724	708
Fri May 31 14:48:45 2024	1717147125	0	725	725	724
Fri May 31 14:48:50 2024	1717147130	0	725	725	725
Fri May 31 14:48:47 2024	1717147127	0	726	726	726
Fri May 31 14:48:48 2024	1717147128	0	727	727	727
Fri May 31 14:48:46 2024	1717147126	0	727	727	727
Fri May 31 14:48:47 2024	1717147127	0	728	728	728
Fri May 31 14:48:51 2024	1717147131	0	730	730	729
Fri May 31 14:48:46 2024	1717147126	0	730	730	729
Fri May 31 14:48:45 2024	1717147125	0	731	731	610
Fri May 31 14:48:52 2024	1717147132	0	731	731	730
Fri May 31 14:48:52 2024	1717147132	0	732	732	731
Fri May 31 14:48:45 2024	1717147125	0	732	732	527
Fri May 31 14:48:44 2024	1717147124	0	733	733	732
Fri May 31 14:48:51 2024	1717147131	0	733	733	733
Fri May 31 14:48:46 2024	1717147126	0	734	734	421
Fri May 31 14:48:46 2024	1717147126	0	736	736	420
Fri May 31 14:48:49 2024	1717147129	0	736	736	736
Fri May 31 14:48:48 2024	1717147128	0	736	736	704
Fri May 31 14:48:49 2024	1717147129	0	737	737	737
Fri May 31 14:48:48 2024	1717147128	0	741	741	726
Fri May 31 14:48:51 2024	1717147131	0	742	742	741
Fri May 31 14:48:48 2024	1717147128	0	742	742	741
Fri May 31 14:48:46 2024	1717147126	0	742	742	742
Fri May 31 14:48:51 2024	1717147131	0	744	744	743
Fri May 31 14:48:49 2024	1717147129	0	745	745	745
Fri May 31 14:48:45 2024	1717147125	0	747	747	746
Fri May 31 14:48:46 2024	1717147126	0	747	747	431
Fri May 31 14:48:45 2024	1717147125	0	747	747	747
Fri May 31 14:48:52 2024	1717147132	0	750	750	740
Fri May 31 14:48:48 2024	1717147128	0	750	750	750
Fri May 31 14:48:47 2024	1717147127	0	750	751	750
Fri May 31 14:48:50 2024	1717147130	0	751	751	751
Fri May 31 14:48:48 2024	1717147128	0	751	751	750
Fri May 31 14:48:51 2024	1717147131	0	752	752	752
Fri May 31 14:48:51 2024	1717147131	0	753	753	752
Fri May 31 14:48:45 2024	1717147125	0	753	753	707
Fri May 31 14:48:48 2024	1717147128	0	754	754	753
Fri May 31 14:48:48 2024	1717147128	0	754	754	754
Fri May 31 14:48:45 2024	1717147125	0	754	754	693
Fri May 31 14:48:51 2024	1717147131	0	754	755	745
Fri May 31 14:48:52 2024	1717147132	0	756	756	736
Fri May 31 14:48:47 2024	1717147127	0	756	756	756
Fri May 31 14:48:49 2024	1717147129	0	756	756	756
Fri May 31 14:48:51 2024	1717147131	0	757	757	757
Fri May 31 14:48:52 2024	1717147132	0	758	758	679
Fri May 31 14:48:44 2024	1717147124	2	759	761	758
Fri May 31 14:48:47 2024	1717147127	0	761	761	760
Fri May 31 14:48:48 2024	1717147128	0	761	761	761
Fri May 31 14:48:48 2024	1717147128	0	764	764	763
